  460          3     1.5     1.5
  461        3.5     2.5     1.5
  462        2.5       3     3.5
  463        3.5       2       2
  464        2.5       3     2.5
  465          3     2.5       4
  466        3.5     3.5       3
  467        3.5     3.5       4
  468        3.5       3       3
  469          2       2     3.5
  470        3.5     3.5       3
  471          3     2.5     2.5
  472          3       3       3
  473          3       3     2.5
  474        3.5       3       3
  475        2.5     2.5     2.5
  476          1     0.5     0.5
  477        2.6     2.6     1.8
  478          2     2.5       1
  479          3     2.5       3
  480          4     3.5       3
  481          4       4       4
  482        3.4     3.6     3.8
  483          3     2.5       2
  484        3.5       3       3
  485        2.5     1.5       2
  486          3     2.5     2.5
  487        3.5     3.5     3.5
  488        1.5       1       1
  489        3.5       3       3
  490        1.5     1.5       1
  491          4       4       4
  492          2     0.5     1.5
  493        3.5       2       4
  494          4       4       4
  495        3.5     3.5     3.5
  496        2.5       2       2
  497        3.5     2.5     2.5
  498        3.5     2.5       3
  499          3       3       3
  500        3.5       2       3
  501        2.5       2     2.5
  502        3.5       2     1.5
  503        3.4     2.7     3.6
  504        2.5     2.5       2
  505        3.5       2     1.5
  506          3       3     2.5
  507          3       3       4
  508          3     3.5     3.5
  509          3     3.5       3
  510        1.5     1.5     1.5
  511        2.5       3       3
  512          3     2.5       3
  513          4     3.5     3.5
  514        2.5       2       2
  515        2.5       2     2.5
  516        2.5       2       2
  517          3     2.5     2.5
  518        2.5     1.5       2
  519          3       3       3
  520        3.5     3.5     3.5
  521          3       2     2.5
  522        3.5     2.5     2.5
  523        2.5     3.5       3
  524          2       2       3
  525        2.5     1.5       1
  526          2       2       1
  527        2.5       1     1.5
  528        2.5     2.5     2.5
  529        2.5       3     3.5
  530          3       2     1.5
  531          3     3.5       3
  532        2.5     2.5       2
  533          3     3.5       3
  534          1     1.5     2.5
  535        1.5       2       2
  536          2     1.5       2
  537          1     1.5       1
  538          2     1.5     1.5
  539        3.5     3.5     3.5
  540        2.5       2     2.5
